-0,061	0,255	-0,292	-0,490	-0,508	1,009
-0,079	0,117	-1,166	-0,351	-0,788	1,192
-0,065	0,187	-0,844	0,186	-2,139	0,985
-0,172	0,159	-0,630	0,403	-1,672	-0,456
-0,039	0,173	-0,907	0,711	-1,541	0,363
-0,143	0,202	-0,679	0,765	-1,031	1,947
-0,028	0,238	-1,024	0,229	-0,603	0,445
-0,035	0,395	-0,056	0,645	-0,924	0,393
0,087	0,131	-0,453	-0,213	-1,366	0,905
-0,135	0,193	-0,695	0,089	0,618	0,684
-0,138	0,167	-0,421	0,866	1,074	1,125
0,014	0,045	-0,256	0,255	-0,425	-0,908
-0,319	0,207	-0,302	0,801	-0,730	0,724
-0,126	0,221	0,014	0,107	-0,482	-0,066
0,135	0,157	0,023	0,166	-0,580	0,574
-0,146	-0,091	-0,773	0,507	-1,647	0,838
-0,104	0,198	-0,486	0,055	-1,249	2,444
-0,062	0,113	0,201	0,659	-0,231	-0,195
-0,166	0,258	-1,084	0,583	-0,907	0,706
0,018	0,083	-0,646	0,638	0,267	1,437
-0,162	0,036	-0,960	0,414	-1,022	2,168
-0,175	0,097	-0,224	0,850	-0,399	2,315
-0,076	0,225	-0,084	0,783	-1,000	1,681
-0,201	0,105	-0,237	1,033	-1,739	1,089
-0,058	-0,127	-0,279	-0,188	-0,525	0,602
-0,109	0,053	-0,492	0,905	-2,312	0,225
-0,024	0,064	-1,337	0,691	-1,341	1,070
-0,231	0,031	0,582	0,567	-0,855	0,871
0,070	0,129	-0,343	1,059	-0,622	0,273
-0,123	-0,006	-0,869	0,594	-0,714	-0,389
-0,150	0,139	0,087	0,701	-1,442	-0,106
-0,089	0,155	-1,259	0,395	-0,077	1,603
-0,150	0,216	0,448	0,563	-0,280	0,924
-0,192	0,087	-0,274	-0,406	-1,478	1,321
-0,188	0,122	-0,615	0,424	-3,304	1,547
-0,085	0,058	-0,712	-0,103	-0,110	-0,180
-0,032	0,137	-0,504	0,938	-1,754	1,492
-0,277	0,050	-0,591	0,536	0,224	1,156
-0,294	0,091	-0,804	0,776	-1,195	0,634
-0,160	0,288	-0,393	0,530	-0,061	0,002
-0,269	0,162	-0,639	0,262	-0,366	1,640
-0,115	0,152	-0,524	1,019	-0,774	-1,768
-0,215	0,136	-0,006	0,133	0,075	1,231
-0,239	0,109	-0,372	-0,576	-0,318	0,501
-0,050	0,044	0,043	-0,147	-1,322	1,299
-0,120	0,054	-0,881	1,170	-0,535	1,415
0,006	0,089	-0,927	0,544	-0,129	0,066
-0,169	-0,048	-0,581	-0,026	-1,091	0,164
0,037	0,013	-0,415	0,439	-1,954	1,269
0,116	0,019	-0,151	0,222	-0,354	1,253
-0,010	0,149	-0,065	0,618	0,725	1,031
-0,183	0,070	-0,181	0,300	0,289	-0,361
-0,154	0,111	-0,973	0,742	0,127	0,335
-0,016	0,142	0,099	0,278	-0,661	2,273
-0,043	0,209	-0,704	1,145	-0,447	0,892
0,055	0,011	-0,552	0,672	-1,232	0,139
-0,156	0,024	-0,752	-0,076	-0,194	1,380
0,001	0,177	-0,161	0,330	-2,284	1,198
-0,123	-0,017	-0,729	0,346	1,037	0,533
0,025	0,183	-0,443	0,361	-1,512	-0,259
-0,128	0,125	-0,386	-0,295	-2,033	0,205
-0,070	0,179	-0,521	-0,120	-0,834	-0,745
-0,006	0,189	-0,430	0,375	0,340	0,033
-0,073	0,066	-1,106	0,191	-1,617	0,074
-0,045	-0,003	-0,471	1,315	-0,172	0,538
0,097	0,040	-0,743	0,026	-0,813	0,466
-0,099	0,242	-0,324	0,309	0,156	1,863
-0,224	-0,071	-0,229	0,170	-0,240	0,850
-0,131	0,296	-0,336	0,606	-2,065	0,668
-0,068	0,098	0,054	-0,057	0,402	0,578
-0,212	-0,020	-0,263	0,292	-1,081	1,883
-0,116	0,232	0,118	0,069	-1,413	0,971
-0,097	-0,043	-0,140	0,628	-0,961	-0,625
-0,106	0,067	-0,194	-0,233	-0,307	2,039
-0,091	-0,032	-0,463	0,445	0,038	2,066
-0,197	0,078	-0,172	0,930	0,028	0,304
-0,221	0,127	-0,788	0,243	-0,462	-0,281
-0,260	0,035	-0,359	0,481	-1,124	-0,551
-0,052	0,118	0,223	0,143	-1,473	-0,032
-0,179	0,008	-0,130	0,321	-2,586	0,647
-0,250	0,168	-0,095	0,356	-1,156	1,724
-0,379	0,145	-0,039	0,210	-1,201	0,331
-0,003	0,102	-0,031	0,729	-1,830	0,423
-0,205	0,326	-0,568	0,046	-1,051	0,745
-0,080	-0,011	-0,607	-0,041	-1,566	1,457
-0,054	-0,026	-0,105	0,521	0,560	0,473
-0,094	-0,039	-0,362	0,831	-1,305	1,766
0,046	0,061	-0,204	0,874	-0,650	1,569
0,029	0,094	-0,665	0,274	-0,978	2,676
-0,014	-0,133	-0,822	0,380	-0,566	1,054
-0,241	0,082	-0,995	0,095	-1,277	0,816
-0,085	0,075	0,305	1,350	-0,887	0,948
-0,021	-0,060	0,180	0,499	-1,147	0,797
-0,189	-0,076	-0,404	0,975	-0,698	0,776
-0,102	0,074	0,161	0,469	-1,794	1,804
-0,111	0,021	0,287	0,473	-0,014	1,525
0,010	0,105	-0,563	0,000	0,496	1,144
0,060	0,267	-0,535	0,459	-0,752	1,358
-0,037	0,004	-0,313	0,125	-1,901	0,104
-0,139	0,027	0,372	0,016	-0,862	0,257
